Mapping of LCI and Emissions Factors from GREET to Decarbonization Tool,,,,,,,,
Mapping of life cycle inventory and emissions from GREET to Decarbonization Tool metadata conventions.,,,,,,,,
,,,,,,,,
Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Scope,GREET Version,GREET Tab,GREET Pathway
Transportation,Aviation,Air Transportation,Jet Fuel,Petroleum,Supply Chain,GREET1_2021,JetFuel_WTP,Pertoleum Conv. Jet Fuel
Transportation,Military,Military Use,Jet Fuel,Petroleum,Supply Chain,GREET1_2021,JetFuel_WTP,Pertoleum Conv. Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"FT-Synthesis, MSW",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"FT-Synthesis, MSW",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"FT-Synthesis, Poplar",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"FT-Synthesis, Poplar",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"FT-Synthesis, Willow",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"FT-Synthesis, Willow",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"FT-Synthesis, Logging residues",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"FT-Synthesis, Logging residues",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"FT-Synthesis, Wood and wood wastes",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"FT-Synthesis, Wood and wood wastes",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"FT-Synthesis, Whole tree biomass",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"FT-Synthesis, Whole tree biomass",Supply Chain,GREET1_2021,JetFuel_WTP,Biomass to Fischer-Tropsch Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"FT-Synthesis, Landfill gas",Supply Chain,GREET1_2021,JetFuel_WTP,Landfill Gas to Fischer-Tropsch Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"FT-Synthesis, Landfill gas",Supply Chain,GREET1_2021,JetFuel_WTP,Landfill Gas to Fischer-Tropsch Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"HEFA, Corn oil",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"HEFA, Corn oil",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"HEFA, FOGs",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"HEFA, FOGs",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"HEFA, UCO",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"HEFA, UCO",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"HTL, Wastewater sludge",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"HTL, Wastewater sludge",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"HTL, Algae",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"HTL, Algae",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"HTL, Manure",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"HTL, Manure",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"CAP, Algae",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Military,Military Use,Sustainable Aviation Fuel,"CAP, Algae",Supply Chain,GREET1_2021,JetFuel_WTP,Soy Oil-based Renewable Jet Fuel
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"ETJ, Corn ethanol",Supply Chain,GREET1_2021,JetFuel_WTP,Ethanol-To-Jet: Corn (Standalone)
Transportation,Military,Military Use,Sustainable Aviation Fuel,"ETJ, Corn ethanol",Supply Chain,GREET1_2021,JetFuel_WTP,Ethanol-To-Jet: Corn (Standalone)
Transportation,Aviation,Air Transportation,Sustainable Aviation Fuel,"ETJ, Cellulosic ethanol",Supply Chain,GREET1_2021,JetFuel_WTP,Ethanol-To-Jet: Corn Stover (Standalone)
Transportation,Military,Military Use,Sustainable Aviation Fuel,"ETJ, Cellulosic ethanol",Supply Chain,GREET1_2021,JetFuel_WTP,Ethanol-To-Jet: Corn Stover (Standalone)
Commercial,-,-,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Aluminum Industry,-,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Glass Industry,-,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Metal Based Durables Industry,Computers Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Metal Based Durables Industry,Electrical Equipment Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Metal Based Durables Industry,Fabricated Metal Products Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Metal Based Durables Industry,Machinery Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Metal Based Durables Industry,Transportation Equipment Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Nonmanufacturing Sector,Construction,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Nonmanufacturing Sector,Mining,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Other Manufacturing Industry,Balance of Manufacturing Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Other Manufacturing Industry,Plastics Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Industrial,Other Manufacturing Industry,Wood Products Consumption,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Residential,-,-,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,Marine,Domestic Shipping,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,Marine,International Shipping,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,Marine,Recreational Boats,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,Military,Military Use,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,On Road,Intercity Bus,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,On Road,School Bus,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,On Road,Transit Bus,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,Rail,Commuter Rail,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,Rail,Freight Rail,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,Rail,Intercity Rail,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Agriculture,-,On farm energy use,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Commercial,-,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Commercial,-,Heating,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Commercial,-,Water Heating,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Aluminum Industry,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Bulk Chemical Industry,Heat and Power,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Cement and Lime Industry,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Food Industry,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Glass Industry,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Iron and Steel Industry,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Metal Based Durables Industry,Computers Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Metal Based Durables Industry,Electrical Equipment Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Metal Based Durables Industry,Fabricated Metal Products Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Metal Based Durables Industry,Machinery Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Metal Based Durables Industry,Transportation Equipment Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Nonmanufacturing Sector,Construction,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Nonmanufacturing Sector,Mining,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Other Manufacturing Industry,Balance of Manufacturing Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Other Manufacturing Industry,Plastics Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Other Manufacturing Industry,Wood Products Consumption,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Paper Industry,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Industrial,Refining Industry,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Residential,-,-,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Residential,-,Heating,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Residential,-,Water Heating,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,Marine,Domestic Shipping,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,Marine,International Shipping,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,Marine,Recreational Boats,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,Military,Military Use,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,On Road,Commercial Light Trucks,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,On Road,Freight Trucks,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,On Road,Intercity Bus,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,On Road,Light-Duty Vehicle,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,On Road,School Bus,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,On Road,Transit Bus,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,Rail,Commuter Rail,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,Rail,Freight Rail,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,Rail,Intercity Rail,Biodiesel,Soybean,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Agriculture,-,On farm energy use,Motor Gasoline,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Industrial,Nonmanufacturing Sector,Construction,Motor Gasoline,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Industrial,Nonmanufacturing Sector,Mining,Motor Gasoline,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Transportation,Marine,Recreational Boats,Gasoline,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Transportation,On Road,Intercity Bus,E85,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Transportation,On Road,Intercity Bus,Motor Gasoline,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Transportation,On Road,School Bus,E85,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Transportation,On Road,School Bus,Motor Gasoline,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Transportation,On Road,Transit Bus,E85,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
Transportation,On Road,Transit Bus,Motor Gasoline,Petroleum Gasoline,Supply Chain,GREET1_2021,Petroleum,Gasoline Blendstock
