"Correspondence matrix to merge EERE tool based Energy carrier, Energy carrier type conventions",,,,,,
,,,,,,
,,,,,,
Sector,Subsector,End Use Application,EIA: Energy carrier,EIA: Energy carrier type,Energy carrier,Energy carrier type
Transportation,On Road,School Bus,Motor Gasoline,"Ethanol, Conventional",Motor Gasoline,"Ethanol, Conventional"
Transportation,On Road,School Bus,Motor Gasoline,Petroleum Gasoline,Motor Gasoline,Petroleum Gasoline
Transportation,On Road,School Bus,Propane,-,Propane,-
Transportation,On Road,Transit Bus,Compressed & Liquefied Natural Gas,-,Compressed Natural Gas,U.S. Average Mix
Transportation,On Road,Transit Bus,Distillate Fuel Oil,Biodiesel,Diesel,Biodiesel
Transportation,On Road,Transit Bus,Distillate Fuel Oil,Petroleum Distillate,Diesel,Petroleum Distillate
Transportation,On Road,Transit Bus,E85,"Ethanol, Cellulosic",E85,"Ethanol, Cellulosic"
Transportation,On Road,Transit Bus,E85,"Ethanol, Conventional",E85,"Ethanol, Conventional"
Transportation,On Road,Transit Bus,E85,Petroleum Gasoline,E85,Petroleum Gasoline
Transportation,On Road,Transit Bus,Electricity,-,Electricity,U.S. Average Grid Mix
Transportation,On Road,Transit Bus,Hydrogen,-,Hydrogen,Natural Gas
Transportation,On Road,Transit Bus,Motor Gasoline,"Ethanol, Cellulosic",Motor Gasoline,"Ethanol, Cellulosic"
Transportation,On Road,Transit Bus,Motor Gasoline,"Ethanol, Conventional",Motor Gasoline,"Ethanol, Conventional"
Transportation,On Road,Transit Bus,Motor Gasoline,Petroleum Gasoline,Motor Gasoline,Petroleum Gasoline
Transportation,On Road,Transit Bus,Propane,-,Propane,-
Transportation,Other,Lubricants,Lubricants,-,Lubricants,Petroleum
Transportation,Other,Pipeline Fuel Natural Gas,Natural Gas,-,Natural Gas,U.S. Average Mix
Transportation,Rail,Commuter Rail,Compressed Natural Gas,-,Compressed Natural Gas,U.S. Average Mix
Transportation,Rail,Commuter Rail,Diesel,-,Diesel,Petroleum Distillate
Transportation,Rail,Commuter Rail,Electricity,-,Electricity,U.S. Average Grid Mix
Transportation,Rail,Commuter Rail,Liquefied Natural Gas,-,Liquefied Natural Gas,U.S. Average Mix
Transportation,Rail,Freight Rail,Compressed Natural Gas,-,Compressed Natural Gas,U.S. Average Mix
Transportation,Rail,Freight Rail,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Transportation,Rail,Freight Rail,Liquefied Natural Gas,-,Liquefied Natural Gas,U.S. Average Mix
Transportation,Rail,Freight Rail,Residual Fuel Oil,-,Residual Fuel Oil,Petroleum Fuel Oil
Transportation,Rail,Intercity Rail,Compressed Natural Gas,-,Compressed Natural Gas,U.S. Average Mix
Transportation,Rail,Intercity Rail,Diesel,-,Diesel,Petroleum Distillate
Transportation,Rail,Intercity Rail,Electricity,-,Electricity,U.S. Average Grid Mix
Transportation,Rail,Intercity Rail,Liquefied Natural Gas,-,Liquefied Natural Gas,U.S. Average Mix
Transportation,Rail,Transit Rail,Electricity,-,Electricity,U.S. Average Grid Mix
